month,year,chlvals,chl,Year,Month
03,2006,69230,0.7924517004799199,2006,March
03,2007,22689,0.45887298625806666,2007,March
03,2008,6820,0.49964479477611806,2008,March
03,2009,38386,1.4065107476310348,2009,March
03,2010,6999,0.5504829154990838,2010,March
03,2011,94567,1.3038172852782715,2011,March
03,2012,47,0.4058297916929773,2012,March
03,2013,13194,0.7022490281331027,2013,March
03,2014,18963,0.5919166322899102,2014,March
03,2015,124236,0.9415877890364512,2015,March
03,2016,100826,1.078872466044541,2016,March
03,2017,178797,1.2184603888259826,2017,March
03,2018,606253,1.7121011677603193,2018,March
03,2019,499952,1.707599350477762,2019,March
04,2006,58471,1.865733137279935,2006,April
04,2007,49876,2.51161331288446,2007,April
04,2008,6075,0.47916806781242904,2008,April
04,2009,5034,0.5869568978800014,2009,April
04,2010,13430,0.6276632009230815,2010,April
04,2011,50226,0.6721928963309436,2011,April
04,2012,5816,0.41919109397958526,2012,April
04,2013,24624,1.0460472700728891,2013,April
04,2014,197155,3.894984655339844,2014,April
04,2015,146640,18.27868473014855,2015,April
04,2016,250087,2.8855252649442313,2016,April
04,2017,219967,3.4592871732771586,2017,April
04,2018,556975,1.4582398916606583,2018,April
04,2019,587509,1.4019731275336151,2019,April
05,2006,320152,5.557856205061241,2006,May
05,2007,387102,2.014210912542244,2007,May
05,2008,255377,2.3682472005561115,2008,May
05,2009,194936,3.73707253214498,2009,May
05,2010,417598,1.8848463035188654,2010,May
05,2011,445164,0.8355060447408625,2011,May
05,2012,110836,6.619803069856007,2012,May
05,2013,222064,5.19426540229433,2013,May
05,2014,316957,2.4697032993931582,2014,May
05,2015,403201,9.334622246006928,2015,May
05,2016,523206,1.7268118493925844,2016,May
05,2017,665239,14.773646856978964,2017,May
05,2018,574005,1.613610334824483,2018,May
05,2019,655584,4.203603177881932,2019,May
06,2006,585550,1.471494346339953,2006,June
06,2007,661490,0.5251437305468322,2007,June
06,2008,485826,1.4191444867607057,2008,June
06,2009,623517,1.3228187358235073,2009,June
06,2010,587900,0.711710210827495,2010,June
06,2011,562697,0.5289197370678217,2011,June
06,2012,634049,1.6044310358388385,2012,June
06,2013,478943,2.2690934093951487,2013,June
06,2014,724617,0.5665926506343647,2014,June
06,2015,773565,1.2964467003011573,2015,June
06,2016,768700,0.5526533214374769,2016,June
06,2017,599258,0.5481653360944218,2017,June
06,2018,696212,2.437837687276338,2018,June
06,2019,655479,2.3753785273623897,2019,June
07,2006,680325,0.39019020399223453,2006,July
07,2007,583165,0.30145692733339785,2007,July
07,2008,654057,0.3938684028181443,2008,July
07,2009,268104,1.0399553421001047,2009,July
07,2010,760723,0.3053911925024593,2010,July
07,2011,616587,0.48509633707953426,2011,July
07,2012,648168,0.3730392338584374,2012,July
07,2013,480210,0.19695803911289886,2013,July
07,2014,683611,0.5105126618833778,2014,July
07,2015,384768,0.459458117914008,2015,July
07,2016,654377,0.4732149272840678,2016,July
07,2017,686794,0.4153134031801289,2017,July
07,2018,490691,0.7652679662284543,2018,July
07,2019,632873,0.8891592519701723,2019,July
