"esr_region","year2","meansst","anomaly"
"Western Aleutians",1986,5.73290410958904,0.167267294308112
"Western Aleutians",1987,5.50197260273973,-0.0636642125412035
"Western Aleutians",1988,4.96166666666667,-0.603970148614263
"Western Aleutians",1989,5.4047397260274,-0.160897089253532
"Western Aleutians",1990,5.51846575342466,-0.0471710618562717
"Western Aleutians",1991,5.70849315068493,0.142856335404002
"Western Aleutians",1992,5.30527322404372,-0.260363591237214
"Western Aleutians",1993,5.47358904109589,-0.0920477741850387
"Western Aleutians",1994,5.57591780821918,0.0102809929382488
"Western Aleutians",1995,5.54991780821918,-0.015719007061751
"Western Aleutians",1996,5.93601092896175,0.370374113680819
"Western Aleutians",1997,5.81071232876712,0.245075513486194
"Western Aleutians",1998,5.33575342465753,-0.229883390623395
"Western Aleutians",1999,4.75213698630137,-0.81349982897956
"Western Aleutians",2000,4.79967213114754,-0.765964684133388
"Western Aleutians",2001,4.58649315068493,-0.979143664595998
"Western Aleutians",2002,5.01931506849315,-0.546321746787779
"Western Aleutians",2003,5.53821917808219,-0.027417637198738
"Western Aleutians",2004,5.75521857923497,0.189581763954044
"Western Aleutians",2005,5.59449315068493,0.0288563354040017
"Western Aleutians",2006,5.60361643835616,0.0379796230752349
"Western Aleutians",2007,5.60167123287671,0.0360344175957827
"Western Aleutians",2008,5.66215846994536,0.0965216546644259
"Western Aleutians",2009,5.59013698630137,0.0245001710204402
"Western Aleutians",2010,5.23161643835616,-0.334020376924765
"Western Aleutians",2011,5.79780821917808,0.232171403897153
"Western Aleutians",2012,5.39603825136612,-0.16959856391481
"Western Aleutians",2013,5.87687671232877,0.311239897047837
"Western Aleutians",2014,6.05224657534247,0.486609760061536
"Western Aleutians",2015,5.87186301369863,0.306226198417701
"Western Aleutians",2016,6.16606557377049,0.600428758489563
"Western Aleutians",2017,6.04441095890411,0.47877414362318
"Western Aleutians",2018,6.06531506849315,0.499678253212221
"Western Aleutians",2019,6.08232876712329,0.516691951842358
"Western Aleutians",2020,5.84173553719008,0.276098721909153
"Western Aleutians",2021,5.61807228915663,0.0524354738756969
"Central Aleutians",1986,5.79923287671233,0.132499932693379
"Central Aleutians",1987,5.73065753424658,0.063924590227626
"Central Aleutians",1988,5.44901639344262,-0.217716550576327
"Central Aleutians",1989,5.48452054794521,-0.182212396073744
"Central Aleutians",1990,5.64090410958904,-0.0258288344299089
"Central Aleutians",1991,5.88969863013699,0.222965686118036
"Central Aleutians",1992,5.36658469945355,-0.300148244565398
"Central Aleutians",1993,5.52449315068493,-0.142239793334018
"Central Aleutians",1994,5.62147945205479,-0.0452534919641554
"Central Aleutians",1995,5.63419178082192,-0.032541163197032
"Central Aleutians",1996,5.99426229508197,0.327529351063017
"Central Aleutians",1997,5.97435616438356,0.307623220364611
"Central Aleutians",1998,5.34131506849315,-0.325417875525799
"Central Aleutians",1999,4.96556164383562,-0.701171300183334
"Central Aleutians",2000,4.9729781420765,-0.693754801942447
"Central Aleutians",2001,5.09569863013699,-0.571034313881963
"Central Aleutians",2002,5.26361643835616,-0.403116505662785
"Central Aleutians",2003,5.83484931506849,0.168116371049543
"Central Aleutians",2004,5.73997267759563,0.0732397335766786
"Central Aleutians",2005,5.69786301369863,0.0311300696796808
"Central Aleutians",2006,5.79408219178082,0.127349247761872
"Central Aleutians",2007,5.64180821917808,-0.0249247248408677
"Central Aleutians",2008,5.60535519125683,-0.0613777527621195
"Central Aleutians",2009,5.53112328767123,-0.135609656347717
"Central Aleutians",2010,5.33630136986301,-0.330431574155936
"Central Aleutians",2011,5.73383561643836,0.0671026724194066
"Central Aleutians",2012,5.43185792349727,-0.234875020521682
"Central Aleutians",2013,5.68531506849315,0.018582124474201
"Central Aleutians",2014,5.97635616438356,0.309623220364612
"Central Aleutians",2015,5.99287671232877,0.326143768309818
"Central Aleutians",2016,6.04729508196721,0.380562137948264
"Central Aleutians",2017,6.09290410958904,0.426171165570091
"Central Aleutians",2018,6.0772602739726,0.410527329953653
"Central Aleutians",2019,6.24504109589041,0.578308151871461
"Central Aleutians",2020,6.06281420765027,0.396081263631324
"Central Aleutians",2021,5.72690690690691,0.0601739628879567
"Eastern Aleutians",1986,6.31693150684931,0.219398383224904
"Eastern Aleutians",1987,6.406,0.308466876375589
"Eastern Aleutians",1988,5.89270491803279,-0.204828205591624
"Eastern Aleutians",1989,5.91043835616438,-0.187094767460027
"Eastern Aleutians",1990,5.96421917808219,-0.133313945542219
"Eastern Aleutians",1991,6.15098630136986,0.0534531777454523
"Eastern Aleutians",1992,5.92374316939891,-0.173789954225503
"Eastern Aleutians",1993,6.10449315068493,0.00696002706052123
"Eastern Aleutians",1994,6.10043835616438,0.00290523253997321
"Eastern Aleutians",1995,6.01084931506849,-0.0866838085559172
"Eastern Aleutians",1996,6.3879781420765,0.290445018452092
"Eastern Aleutians",1997,6.37191780821918,0.274384684594768
"Eastern Aleutians",1998,5.82115068493151,-0.276382438692903
"Eastern Aleutians",1999,5.36693150684931,-0.730601616775096
"Eastern Aleutians",2000,5.43756830601093,-0.659964817613481
"Eastern Aleutians",2001,5.85131506849315,-0.24621805513126
"Eastern Aleutians",2002,5.73498630136986,-0.362546822254547
"Eastern Aleutians",2003,6.24934246575342,0.151809342129014
"Eastern Aleutians",2004,6.31631147540984,0.218778351785425
"Eastern Aleutians",2005,6.26731506849315,0.16978194486874
"Eastern Aleutians",2006,6.1358904109589,0.0383572873344935
"Eastern Aleutians",2007,5.8193698630137,-0.278163260610712
"Eastern Aleutians",2008,5.72803278688525,-0.369500336739165
"Eastern Aleutians",2009,5.74928767123288,-0.348245452391533
"Eastern Aleutians",2010,5.76728767123288,-0.330245452391534
"Eastern Aleutians",2011,5.90945205479452,-0.18808106882989
"Eastern Aleutians",2012,5.51852459016393,-0.579008533460476
"Eastern Aleutians",2013,5.84756164383562,-0.249971479788794
"Eastern Aleutians",2014,6.4461095890411,0.348576465416685
"Eastern Aleutians",2015,6.52178082191781,0.424247698293398
"Eastern Aleutians",2016,6.67010928961749,0.572576165993076
"Eastern Aleutians",2017,6.47838356164384,0.380850438019425
"Eastern Aleutians",2018,6.47021917808219,0.372686054457781
"Eastern Aleutians",2019,7.02567123287671,0.928138109252302
"Eastern Aleutians",2020,6.73491803278689,0.637384909162475
"Eastern Aleutians",2021,6.10297297297297,0.00543984934856212
